wikidata_id,label,deleted,dfk_id,or_id,or_label,dfkv_id,dfkv_label,pb_id,pb_label
wikidata_id,label,deleted,dfk_id,or_id,or_label,dfkv_id,dfkv_label,pb_id,pb_label
,,,DFK0007086314,16906,"Bors, Elzbieta",,,,
,,,DFK0001203924,16936,"Barylko-Jagaciak, Eleonora",,,,
,,,DFK0000893178,17166,"Bogdan, Krystyna",,,,
,,,DFK0009559227,17167,"Brzozowska, Danuta",,,,
,,,DFK0001013553,17190,"Bielecka-Gwiazdowska, Helena",,,,
,,,DFK0009156545,17145,"Bielczyk, Halina",,,,
,,,DFK0002166908,17147,"Blonko, Kasimierz",,,,
,,,DFK0003055283,17159,"Bik, Zdislaw",,,,
,,,DFK0008581243,17162,"Bienkowska-Klimkowska, Stanislawa",,,,
,,,DFK0001961355,17164,"Balakirew, Pawel",,,,
,,,DFK0001855675,17063,"Bienik, Krystina",,,,
,,,DFK0008286042,17351,"Bierwiacczonek, Olgierd",,,,
,,,DFK0005192475,17368,"Brand-Szamborska, Stefania",,,,
,,,DFK0007716076,17369,"Brzęczykowski, Stanisław",,,,
,,,DFK0001241701,17394,"Baltar, Mireille",,,,
,,,DFK0002927333,17395,"Baltazar, Baltazar",,,,
,,,DFK0005905669,17397,"Brugerolles, Michel",,,,
,,,DFK0000943759,17294,"Beuerman, Andrej",,,,
,,,DFK0009700366,17295,"Bramewski, Michael",,,,
,,,DFK0006482318,17616,"Biała, Janina",,,,
,,,DFK0004860901,17617,"Bogusławska, Joanna",,,,
,,,DFK0006376462,17619,"Broniek, Zofia",,,,
,,,DFK0003363781,17620,"Buczyńska, Ewa",,,,
,,,DFK0006817136,17621,"Budka, Józef",,,,
,,,DFK0000873236,4403,"Brandt, Brandt",,,,
,,,DFK0003927155,15118,"Bukowiecka, Waleria",,,,
,,,DFK0004140108,17968,"Brunsz, Artur",,,,
,,,DFK0005367090,17961,"Bołtryk, Paweł",,,,
,,,DFK0005565112,5904,"Bantzer, Bantzer",,,,
,,,DFK0001439364,2690,"Bernard, Bernard",,,,
,,,DFK0009773912,18301,"Balickii, Stanisław Witold",,,,
,,,DFK0000749610,10829,"Bertholle, Bertholle",,,,
,,,DFK0009874408,18311,"Burgaud, André",,,,
,,,DFK0000078388,9075,"Bitran, Bitran",,,,
,,,DFK0007158768,19880,"Blanco, Julio Rando",,,,
,,,DFK0004049096,11970,"Below, Peter",,,,
,,,DFK0005371602,10854,"Barbosa, Fabio",,,,
,,,DFK0001420918,4157,"Bayer, Hebert",,,,
,,,DFK0007787142,11236,"Bylina, Wojciech",,,,
,,,DFK0004314239,11840,"Bächler, Christa",,,,
,,,DFK0004169364,11859,"Budde, Harald Dieter",,,,
,,,DFK0007510367,11737,"Beal, Beal",,,,
,,,DFK0007864108,11818,"Brady, Matthew",,,,
,,,DFK0005209685,11900,"Babicz, Tadeusz",,,,
,,,DFK0007747603,12044,"Boerne, Armin",,,,
,,,DFK0000862394,12770,"Bierwjaczonek, Olgierd",,,,
,,,DFK0007280364,12720,"Bobowski, Zygmunt",,,,
,,,DFK0002782342,12662,"Błaźewicz, Olgierd",,,,
,,,DFK0009242260,1427,"Bach, Johann Sebastian",,,,
,,,DFK0007730428,12573,"Beksiński, Zdisław",,,,
,,,DFK0005824746,12479,"Buchs, Jørgen",,,,
,,,DFK0007123824,13091,"Butemsh, M.",,,,
,,,DFK0008893387,2668,"Boucher, François",,,,
,,,DFK0004882919,13076,"Bojadshiew, Slatju",,,,
,,,DFK0007338372,13026,"Broër, Almut",,,,
,,,DFK0001295842,13834,"Biniarz, Franz Peter",,,,
,,,DFK0008594926,13732,"Bosch, Bosch",,,,
,,,DFK0000156783,13766,"Bak, Jerzy",,,,
,,,DFK0001540432,13742,"Becher, Bernhard & Hilda",,,,
,,,DFK0004224771,13811,"Bogucki, Michal",,,,
,,,DFK0000817245,13330,"Blazewicz, Olgierd",,,,
,,,DFK0000173587,13447,"Burckhardt, Balthasar",,,,
,,,DFK0000818059,13692,"Bayerle, Thomas",,,,
,,,DFK0008496817,13698,"Bzdok, Henryk",,,,
,,,DFK0007201381,13669,"Bissiere, Benrath",,,,
,,,DFK0009459796,13951,"Baldaccini, Cezar",,,,
,,,DFK0005834117,13953,"Breznay, Jozef",,,,
,,,DFK0001864738,13952,"Baworowska, Barbara",,,,
,,,DFK0006961655,14247,"Baudinet, Marie-José",,,,
,,,DFK0005586599,14171,"Baumann, Hans",,,,
,,,DFK0008655357,14199,"Berger, R.",,,,
,,,DFK0007901426,14489,"Baumeister, Mary",,,,
,,,DFK0006142840,14492,"Brown, Caroline",,,,
,,,DFK0008705276,14443,"Borsotto, Borsotto",,,,
,,,DFK0002744830,14542,"Brisset, Brisset",,,,
,,,DFK0007489043,14543,"Barron, Françoise",,,,
