wikidata_id|label|fr_label|hide|deleted|dfk_id|or_id|or_label|dfkv_id|dfkv_label|pb_id|pb_label|fs_id|fs_label|av_id|av_label
|Poniatowski, Joseph||0||DFK0008379754|21617|Poniatowski, Joseph||||||||
|Paczkowski, Adam||0||DFK0002358803|21618|Paczkowski, Adam||||||||
|Pachnike, Peter||0||DFK0003275366|12436|Pachnike, Peter||||||||
|Plath, Sylvia Marita||0||DFK0005314314|21500|Plath, Sylvia Marita||||||||
|Poirier, Anne & Patrick||0||DFK0002439014|11548|Poirier, Anne & Patrick||||||||
|Potocka, Masza||0||DFK0003413824|21355|Potocka, Masza||||||||
|Philipp, Claudia Gabriele||0||DFK0004544167|12115|Philipp, Claudia Gabriele||||||||
|Pargmann, Thomas||0||DFK0008241789|21889|Pargmann, Thomas||||||||
|Puyplat, Lisa||0||DFK0008528701|20445|Puyplat, Lisa||||||||
|Pieczara, Marek||0||DFK0002053822|21855|Pieczara, Marek||||||||
|Plastyków, Koło Młodych||0||DFK0000858405|21840|Plastyków, Koło Młodych||||||||
|Pawlicka, Zuzanna||0||DFK0009858405|16557|Pawlicka, Zuzanna||||||||
|Pavie, Yann||0||DFK0009061297|16594|Pavie, Yann||||||||
|Palikowska, Halina||0||DFK0006432147|17533|Palikowska, Halina||||||||
|Piskorowska-Piela, Janina||0||DFK0003743303|17568|Piskorowska-Piela, Janina||||||||
|Pławska-Jackiewicz, Krystyna||0||DFK0008619268|17285|Pławska-Jackiewicz, Krystyna||||||||
|Piotrowicz, Edmund||0||DFK0002189141|10234|Piotrowicz, Edmund||||||||
|Peters, Joanha||0||DFK0001276716|17896|Peters, Joanha||||||||
|Płażewski, Wit||0||DFK0002649751|17897|Płażewski, Wit||||||||
|Porczak, Antoni||0||DFK0007827240|17898|Porczak, Antoni||||||||
|Pszeniczna-Chałaczkiewicz, Walentyna||0||DFK0007019981|17899|Pszeniczna-Chałaczkiewicz, Walentyna||||||||
|Podgórski, Czesław||0||DFK0005347745|16917|Podgórski, Czesław||||||||
|Płonka, Romuald||0||DFK0008226906|16916|Płonka, Romuald||||||||
|Pelayo||0|yes|DFK0005659203|9130|Pelayo, Pelayo||||||||
